0.34,0.47,0.19
0.37,0.39,0.24
0.38,0.44,0.18
0.34,0.41,0.25
0.31,0.43,0.26
0.44,0.36,0.2
0.42,0.4,0.18
0.41,0.4,0.19
0.41,0.39,0.2
0.36,0.4,0.24
0.42,0.36,0.22
0.46,0.32,0.22
0.49,0.28,0.23
0.4,0.34,0.26
0.48,0.31,0.21
0.35,0.41,0.24
0.49,0.35,0.16
0.4,0.39,0.21
0.35,0.43,0.22
0.47,0.41,0.12
0.4,0.38,0.22
0.41,0.35,0.24
0.46,0.37,0.17
0.43,0.38,0.19
0.5,0.29,0.21
0.51,0.25,0.24
0.49,0.36,0.15
0.45,0.3,0.25
0.5,0.23,0.27
0.59,0.22,0.19
0.47,0.33,0.2
0.54,0.34,0.12
0.47,0.35,0.18
0.42,0.33,0.25
0.48,0.33,0.19
0.46,0.31,0.23
0.48,0.3,0.22
0.44,0.33,0.23
0.51,0.31,0.18
0.59,0.27,0.14
0.47,0.32,0.21
0.44,0.38,0.18
0.53,0.3,0.17
0.52,0.28,0.2
0.54,0.31,0.15
0.48,0.35,0.17
0.55,0.32,0.13
0.53,0.34,0.13
0.48,0.34,0.18
0.55,0.32,0.13
0.62,0.23,0.15
0.53,0.28,0.19
0.5,0.34,0.16
0.58,0.26,0.16
0.47,0.4,0.13
0.48,0.32,0.2
0.44,0.29,0.27
0.55,0.27,0.18
0.52,0.31,0.17
0.6,0.23,0.17
0.58,0.31,0.11
0.41,0.4,0.19
