0.47,0.35,0.18
0.36,0.43,0.21
0.49,0.35,0.16
0.45,0.33,0.22
0.46,0.33,0.21
0.45,0.35,0.2
0.54,0.28,0.18
0.48,0.31,0.21
0.41,0.42,0.17
0.39,0.42,0.19
0.49,0.31,0.2
0.47,0.39,0.14
0.47,0.31,0.22
0.4,0.42,0.18
0.4,0.38,0.22
0.39,0.33,0.28
0.45,0.34,0.21
0.36,0.37,0.27
0.38,0.38,0.24
0.38,0.41,0.21
0.42,0.37,0.21
0.4,0.42,0.18
0.49,0.38,0.13
0.51,0.38,0.11
0.45,0.36,0.19
0.41,0.41,0.18
0.51,0.33,0.16
0.41,0.45,0.14
0.43,0.29,0.28
0.48,0.37,0.15
0.48,0.38,0.14
0.53,0.33,0.14
0.44,0.38,0.18
0.39,0.39,0.22
0.39,0.36,0.25
0.46,0.38,0.16
0.38,0.45,0.17
0.43,0.37,0.2
0.43,0.43,0.14
0.42,0.42,0.16
0.44,0.41,0.15
0.38,0.43,0.19
0.43,0.38,0.19
0.43,0.4,0.17
0.41,0.41,0.18
0.5,0.3,0.2
0.39,0.35,0.26
0.43,0.43,0.14
0.4,0.47,0.13
0.44,0.36,0.2
0.53,0.24,0.23
0.37,0.46,0.17
0.44,0.39,0.17
0.42,0.42,0.16
0.39,0.46,0.15
0.43,0.36,0.21
0.41,0.45,0.14
0.4,0.45,0.15
0.37,0.45,0.18
0.41,0.38,0.21
0.42,0.4,0.18
0.44,0.37,0.19
0.41,0.43,0.16
0.43,0.34,0.23
0.42,0.44,0.14
0.46,0.42,0.12
0.41,0.37,0.22
0.43,0.42,0.15
0.47,0.33,0.2
0.48,0.34,0.18
0.38,0.39,0.23
0.45,0.36,0.19
0.38,0.45,0.17
0.42,0.35,0.23
0.48,0.28,0.24
0.32,0.49,0.19
0.36,0.46,0.18
0.41,0.4,0.19
0.43,0.39,0.18
0.43,0.4,0.17
0.41,0.37,0.22
0.41,0.41,0.18
0.42,0.4,0.18
0.39,0.36,0.25
0.42,0.46,0.12
0.43,0.35,0.22
0.46,0.37,0.17
0.43,0.4,0.17
0.44,0.39,0.17
0.41,0.36,0.23
0.4,0.39,0.21
0.45,0.39,0.16
0.46,0.35,0.19
0.52,0.39,0.09
0.43,0.44,0.13
0.47,0.41,0.12
0.41,0.48,0.11
0.49,0.33,0.18
0.51,0.32,0.17
0.36,0.39,0.25
0.37,0.44,0.19
0.42,0.44,0.14
0.39,0.42,0.19
0.35,0.45,0.2
0.39,0.47,0.14
0.42,0.4,0.18
0.5,0.37,0.13
0.45,0.31,0.24
0.4,0.35,0.25
0.52,0.31,0.17
0.43,0.39,0.18
0.47,0.41,0.12
0.38,0.42,0.2
0.45,0.36,0.19
0.42,0.36,0.22
0.38,0.42,0.2
0.4,0.44,0.16
0.52,0.34,0.14
0.44,0.42,0.14
0.43,0.4,0.17
0.36,0.39,0.25
0.5,0.3,0.2
0.36,0.41,0.23
0.41,0.38,0.21
0.43,0.34,0.23
0.43,0.49,0.08
0.42,0.38,0.2
0.43,0.35,0.22
0.36,0.46,0.18
0.45,0.4,0.15
0.41,0.41,0.18
0.38,0.4,0.22
0.41,0.44,0.15
0.47,0.33,0.2
0.38,0.38,0.24
0.41,0.32,0.27
0.42,0.34,0.24
0.43,0.36,0.21
0.4,0.39,0.21
0.47,0.35,0.18
0.34,0.41,0.25
0.34,0.41,0.25
0.45,0.37,0.18
0.52,0.35,0.13
0.37,0.46,0.17
0.4,0.42,0.18
0.51,0.31,0.18
0.35,0.42,0.23
0.42,0.38,0.2
0.43,0.34,0.23
0.47,0.33,0.2
0.44,0.29,0.27
0.52,0.33,0.15
0.5,0.36,0.14
0.38,0.4,0.22
0.49,0.36,0.15
0.43,0.39,0.18
0.39,0.36,0.25
0.5,0.36,0.14
0.46,0.42,0.12
0.45,0.43,0.12
0.4,0.36,0.24
0.46,0.4,0.14
0.49,0.32,0.19
0.51,0.41,0.08
0.52,0.35,0.13
0.37,0.4,0.23
0.39,0.41,0.2
0.47,0.31,0.22
0.4,0.42,0.18
0.49,0.31,0.2
0.38,0.38,0.24
0.47,0.36,0.17
0.47,0.38,0.15
0.49,0.36,0.15
0.35,0.37,0.28
0.38,0.41,0.21
0.47,0.34,0.19
0.39,0.4,0.21
0.45,0.38,0.17
0.39,0.39,0.22
0.38,0.45,0.17
0.41,0.34,0.25
0.41,0.36,0.23
0.49,0.35,0.16
0.46,0.4,0.14
0.43,0.42,0.15
0.42,0.42,0.16
0.34,0.47,0.19
0.48,0.41,0.11
0.46,0.39,0.15
0.44,0.41,0.15
0.39,0.42,0.19
0.46,0.33,0.21
0.46,0.37,0.17
0.42,0.41,0.17
0.43,0.4,0.17
0.43,0.36,0.21
0.4,0.38,0.22
0.47,0.33,0.2
